,loss,accuracy,val_loss,val_accuracy,lr
0,0.6108232736587524,0.6704000234603882,0.47466060519218445,0.7892000079154968,9.999999747378752e-05
1,0.4525691270828247,0.7942000031471252,0.42820894718170166,0.8032000064849854,9.999999747378752e-05
2,0.4171793460845947,0.8130000233650208,0.40299728512763977,0.8181999921798706,9.999999747378752e-05
3,0.3950350284576416,0.8248000144958496,0.38992658257484436,0.8284000158309937,9.999999747378752e-05
4,0.384606271982193,0.8314499855041504,0.3950580954551697,0.8245999813079834,9.999999747378752e-05
5,0.37534135580062866,0.8378000259399414,0.3728524446487427,0.8375999927520752,9.999999747378752e-05
6,0.36424675583839417,0.84170001745224,0.3680681884288788,0.8402000069618225,9.999999747378752e-05
7,0.35820916295051575,0.8460500240325928,0.3625744879245758,0.8442000150680542,9.999999747378752e-05
8,0.3540916442871094,0.8464000225067139,0.3554060161113739,0.847000002861023,9.999999747378752e-05
9,0.34055960178375244,0.8541499972343445,0.3592906594276428,0.8461999893188477,9.999999747378752e-05
